gap_id,symbol,gap_type,description,evidence_required,severity,status
002361-record-file,002361,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
002361-real-manifest,002361,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
002361-date-coverage,002361,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
601500-grade-a-source,601500,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
601500-record-file,601500,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
601500-real-manifest,601500,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
601500-date-coverage,601500,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
600231-grade-a-source,600231,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
600231-record-file,600231,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
600231-real-manifest,600231,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
600231-date-coverage,600231,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
300274-grade-a-source,300274,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
300274-record-file,300274,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
300274-real-manifest,300274,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
300274-date-coverage,300274,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
601636-grade-a-source,601636,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
601636-record-file,601636,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
601636-real-manifest,601636,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
601636-date-coverage,601636,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
002129-grade-a-source,002129,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
002129-record-file,002129,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
002129-real-manifest,002129,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
002129-date-coverage,002129,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
000100-grade-a-source,000100,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
000100-record-file,000100,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
000100-real-manifest,000100,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
000100-date-coverage,000100,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
300433-grade-a-source,300433,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
300433-record-file,300433,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
300433-real-manifest,300433,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
300433-date-coverage,300433,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
000100-early-star-info,000100,historical_info,Historical *ST 2007-05-08..2008-03-28 documented in prior audit; outside required window and not needed for 2025-2026 status,No inclusion required; 2025-2026 NON_ST still needs independent official evidence,INFO,NOT_REQUIRED
