矩阵,场景编号,故障说明,生产入口,预期,实际,退出码,是否阻断,结论,错误码或检查名,未声明文件,阻断原因,只读,网络隔离
原始故障矩阵,R04,Raw 响应 JSON 损坏,production CLI,阻断,已阻断,2,True,通过,not valid JSON,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: artifact Raw projection does not match preserved response"", |     ""DuckDB artifact invalid: artifact Raw projection does not match preserved response"", |     ""JSON artifact invalid: artifact Raw projection does not match preserved response"", |     ""Raw response.json is not valid JSON: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw response.json is not valid JSON: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)"" |     ] |   } | }",True,True
原始故障矩阵,R05,Raw 行数不一致,production CLI,阻断,已阻断,2,True,通过,response_row_count mismatch,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""Raw metadata response_row_count mismatch"", |     ""raw_manifest_file_hash_mismatch: metadata.json"", |     ""raw_manifest_file_size_mismatch: metadata.json"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw metadata response_row_count mismatch"", |       ""raw_manifest_file_hash_mismatch: metadata.json"", |       ""raw_manifest_file_size_mismatch: metadata.json"" |     ], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,R06,Raw Schema 哈希不一致,production CLI,阻断,已阻断,2,True,通过,response_schema_hash mismatch,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""Raw metadata response_schema_hash mismatch"", |     ""raw_manifest_file_hash_mismatch: metadata.json"", |     ""raw_manifest_file_size_mismatch: metadata.json"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw metadata response_schema_hash mismatch"", |       ""raw_manifest_file_hash_mismatch: metadata.json"", |       ""raw_manifest_file_size_mismatch: metadata.json"" |     ], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,R07,Raw 内容哈希不一致,production CLI,阻断,已阻断,2,True,通过,content hash mismatch,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""Raw response content hash mismatch"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw response content hash mismatch"" |     ], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,R08,Manifest 遗漏必需条目,production CLI,阻断,已阻断,2,True,通过,raw_manifest_missing_role,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""manifest_unlisted_file: request.json"", |     ""raw_manifest_missing_role: request"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""manifest_unlisted_file: request.json"", |       ""raw_manifest_missing_role: request"" |     ], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""FAIL"", |       ""error_code"": ""manifest_unlisted_file"", |       ""unlisted_files"": [ |         ""request.json"" |       ], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,F01,CSV 删除一行,production CLI,阻断,已阻断,2,True,通过,expected_bar_count,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: quality checks failed: ['configured_time_range', 'expected_bar_count']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 959, |   ""canonical_sha256"": null, |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,F02,CSV 修改收盘价,production CLI,阻断,已阻断,2,True,通过,canonical row hashes mismatch,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: artifact Raw projection does not match preserved response"", |     ""CSV/JSON/DuckDB canonical row hashes mismatch: DuckDB"", |     ""CSV/JSON/DuckDB canonical row hashes mismatch: JSON"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""bb86c05320985a2f945894d51bad4da48dd3f8be49f55016ac7f6ff61c1a2b38"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,F03,JSON 修改收盘价,production CLI,阻断,已阻断,2,True,通过,canonical row hashes mismatch,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV/JSON/DuckDB canonical row hashes mismatch: JSON"", |     ""JSON artifact invalid: artifact Raw projection does not match preserved response"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,F04,DuckDB 修改数据来源,production CLI,阻断,已阻断,2,True,通过,identity_invariants,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""DuckDB artifact invalid: quality checks failed: ['identity_invariants']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,F05,JSON 修改交易品种,production CLI,阻断,已阻断,2,True,通过,identity_invariants,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""JSON artifact invalid: quality checks failed: ['identity_invariants']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,F06,JSON 修改时间戳,production CLI,阻断,已阻断,2,True,通过,configured_time_range,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""JSON artifact invalid: quality checks failed: ['hour_boundary', 'time_continuity', 'configured_time_range', 'local_utc_round_trip']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,F07,三格式主键集合不一致,production CLI,阻断,已阻断,2,True,通过,expected_bar_count,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""JSON artifact invalid: quality checks failed: ['configured_time_range', 'expected_bar_count']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"", |     ""manifest_closed_world"": { |       ""check_name"": ""manifest_closed_world"", |       ""status"": ""PASS"", |       ""error_code"": null, |       ""unlisted_files"": [], |       ""missing_files"": [] |     } |   } | }",True,True
原始故障矩阵,Q01,非有限或非数值字段,production CLI,阻断,已阻断,1,True,通过,Raw projection invalid,,"Stage 11 error: Raw projection invalid: Unable to parse string ""not-finite"" at position 10 | Raw projection invalid: Unable to parse string ""not-finite"" at position 10",True,True
原始故障矩阵,Q02,负成交量,production CLI,阻断,已阻断,1,True,通过,volume_non_negative,,"Stage 11 crypto validation: BLOCKED |   symbol: ETHUSDT |   rows: 960 |   fundamental_analysis: not_applicable |   run_id: stage11-third-reaudit-20260727 | {""run_id"": ""stage11-third-reaudit-20260727"", ""run_status"": ""BLOCKED"", ""publication_status"": ""blocked"", ""as_of_date"": ""2026-07-27"", ""symbol"": ""ETHUSDT"", ""exchange"": ""OKX"", ""interval"": ""1h"", ""source"": ""okx_public_api"", ""requested_instrument"": ""ETH-USDT"", ""raw_instrument"": ""ETH-USDT"", ""normalized_instrument"": ""ETHUSDT"", ""data_provider"": ""okx_public_api"", ""raw_exchange"": ""OKX"", ""normalized_exchange"": ""OKX"", ""instrument_type"": ""spot"", ""bar_interval"": ""1h"", ""row_count"": 960, ""indicator_row_count"": 960, ""profile_row_count"": 1, ""quality_passed"": 17, ""quality_failed"": 1, ""blocking_reasons"": [""volume_non_negative""], ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", ""output_type"": ""dry_run"", ""started_at"": ""2026-08-02 17:30:16.560778+00:00"", ""completed_at"": ""2026-08-02 17:30:16.761869+00:00"", ""artifact_hash"": ""218a5900a427700d0fb6c720ec9042d80b2b8ae57678f5e990fb4e371dc89a56"", ""fundamental_analysis_status"": ""not_applicable"", ""akshare_capability_status"": ""not_run"", ""akshare_exact_match"": false, ""akshare_eth_matches"": [], ""akshare_evidence_path"": null}",True,True
原始故障矩阵,Q03,缺少小时 K 线,production CLI,阻断,已阻断,1,True,通过,time_continuity,,"Stage 11 crypto validation: BLOCKED |   symbol: ETHUSDT |   rows: 959 |   fundamental_analysis: not_applicable |   run_id: stage11-third-reaudit-20260727 | {""run_id"": ""stage11-third-reaudit-20260727"", ""run_status"": ""BLOCKED"", ""publication_status"": ""blocked"", ""as_of_date"": ""2026-07-27"", ""symbol"": ""ETHUSDT"", ""exchange"": ""OKX"", ""interval"": ""1h"", ""source"": ""okx_public_api"", ""requested_instrument"": ""ETH-USDT"", ""raw_instrument"": ""ETH-USDT"", ""normalized_instrument"": ""ETHUSDT"", ""data_provider"": ""okx_public_api"", ""raw_exchange"": ""OKX"", ""normalized_exchange"": ""OKX"", ""instrument_type"": ""spot"", ""bar_interval"": ""1h"", ""row_count"": 959, ""indicator_row_count"": 959, ""profile_row_count"": 1, ""quality_passed"": 16, ""quality_failed"": 2, ""blocking_reasons"": [""time_continuity"", ""expected_bar_count""], ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", ""output_type"": ""dry_run"", ""started_at"": ""2026-08-02 17:30:17.816246+00:00"", ""completed_at"": ""2026-08-02 17:30:18.014583+00:00"", ""artifact_hash"": ""b7fd599c38322628b0941859a26ee126bc497c9f211f2752f52760f853163934"", ""fundamental_analysis_status"": ""not_applicable"", ""akshare_capability_status"": ""not_run"", ""akshare_exact_match"": false, ""akshare_eth_matches"": [], ""akshare_evidence_path"": null}",True,True
原始故障矩阵,S01,加密货币 Stage 10 隔离,analyze-fundamental --asset-type crypto --dry-run,保持正常,已阻断,0,True,通过,not_applicable,,Stage 10 fundamental analysis: NOT_APPLICABLE |   publication_status: not_applicable |   reason: fundamental_analysis is not_applicable for asset_type=crypto |   run_id: 43bfab69-05c2-4107-82d8-6a1b7ef4bb5b,True,True
原始故障矩阵,S02,股票路径保持不变,Stage 10 production-path regression (45 independently rerun tests),保持正常,已阻断,0,True,通过,Stage 10 fundamental analysis: PASS,,Stage 10 fundamental analysis: PASS; independent Stage 10 regression 45/45 passed,True,True
原始故障矩阵,S03,拒绝未知资产类型,analyze-fundamental --asset-type commodity --dry-run,阻断,已阻断,2,True,通过,invalid choice,,"usage: akshare-data-test analyze-fundamental [-h] --as-of-date AS_OF_DATE |                                              [--config CONFIG] |                                              [--input-database INPUT_DATABASE] |                                              [--input-manifest INPUT_MANIFEST] |                                              [--output-database OUTPUT_DATABASE] |                                              [--symbols SYMBOLS [SYMBOLS ...]] |                                              [--run-id RUN_ID] |                                              [--asset-type {equity,crypto}] |                                              [--dry-run | --validate-only] |                                              [--log-level LOG_LEVEL] [--debug] | akshare-data-test analyze-fundamental: error: argument --asset-type: invalid choice: 'commodity' (choose from 'equity', 'crypto')",True,True
Manifest 故障矩阵,M01,缺少 request role,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_missing_role,,manifest_unlisted_file: request.json | raw_manifest_missing_role: request,True,True
Manifest 故障矩阵,M02,缺少 response role,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_missing_role,,manifest_unlisted_file: response.json | raw_manifest_missing_role: response,True,True
Manifest 故障矩阵,M03,缺少 metadata role,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_missing_role,,manifest_unlisted_file: metadata.json | raw_manifest_missing_role: metadata,True,True
Manifest 故障矩阵,M04,相同路径重复,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_duplicate_path,,raw_manifest_duplicate_path: response.json | raw_manifest_duplicate_role: response,True,True
Manifest 故障矩阵,M05,同 role 不同路径重复,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_duplicate_role,,raw_manifest_duplicate_role: response | raw_manifest_role_path_mismatch: response must reference response.json,True,True
Manifest 故障矩阵,M06,大小写等价路径重复,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_duplicate_path,,raw_manifest_duplicate_path: response.json | raw_manifest_duplicate_role: response,True,True
Manifest 故障矩阵,M07,斜杠等价路径重复,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_duplicate_path,,raw_manifest_duplicate_path: response.json | raw_manifest_duplicate_role: response,True,True
Manifest 故障矩阵,M08,点路径段等价路径重复,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_duplicate_path,,raw_manifest_duplicate_path: response.json | raw_manifest_duplicate_role: response,True,True
Manifest 故障矩阵,M09,两个 response 主体,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_duplicate_role,,raw_manifest_duplicate_role: response | raw_manifest_role_path_mismatch: response must reference response.json,True,True
Manifest 故障矩阵,M10,绝对路径,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_invalid_path,,manifest_unlisted_file: response.json | raw_manifest_invalid_path: entry 1: absolute paths are forbidden,True,True
Manifest 故障矩阵,M11,父目录穿越,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_invalid_path,,manifest_unlisted_file: response.json | raw_manifest_invalid_path: entry 1: parent traversal is forbidden,True,True
Manifest 故障矩阵,M12,声明文件不存在,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_file_missing,,manifest_declared_file_missing: missing.json | manifest_unlisted_file: response.json | raw_manifest_file_missing: Raw manifest file missing: missing.json | raw_manifest_role_path_mismatch: response must reference response.json,True,True
Manifest 故障矩阵,M13,物理文件存在但未声明,validate-crypto --validate-only,阻断,已阻断,2,True,通过,manifest_unlisted_file,,manifest_unlisted_file: orphan.json,True,True
Manifest 故障矩阵,M14,文件大小不一致,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_file_size_mismatch,,raw_manifest_file_size_mismatch: response.json,True,True
Manifest 故障矩阵,M15,SHA-256 不一致,validate-crypto --validate-only,阻断,已阻断,2,True,通过,raw_manifest_file_hash_mismatch,,raw_manifest_file_hash_mismatch: response.json,True,True
