feature_name,feature_group,description,formula,input_fields,input_dataset,window,adjustment_basis,unit,null_policy,as_of_policy,formula_version,config_source,enabled
matching_tolerance_tick_fraction,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
previous_raw_close,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
raw_close,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
threshold_source,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
uncertainty_reason,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
amount_cny,price_daily,Frozen Stage 6 price_daily feature,configured Stage 6 price_daily feature,registered in formula,v_stock_daily_qfq,,qfq,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
amplitude,price_daily,Frozen Stage 6 price_daily feature,configured Stage 6 price_daily feature,registered in formula,v_stock_daily_qfq,,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
close_qfq,price_daily,Frozen Stage 6 price_daily feature,configured Stage 6 price_daily feature,registered in formula,v_stock_daily_qfq,,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
return_1d,price_daily,Frozen Stage 6 price_daily feature,close_qfq / previous_close_qfq - 1,registered in formula,v_stock_daily_qfq,,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
rolling_volatility_20,price_daily,Frozen Stage 6 price_daily feature,"std(return_1d,20) * sqrt(252)",registered in formula,v_stock_daily_qfq,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
turnover_rate,price_daily,Frozen Stage 6 price_daily feature,configured Stage 6 price_daily feature,registered in formula,v_stock_daily_qfq,,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_lot,price_daily,Frozen Stage 6 price_daily feature,configured Stage 6 price_daily feature,registered in formula,v_stock_daily_qfq,,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_ma_20,price_daily,Frozen Stage 6 price_daily feature,"rolling mean(volume_share, 20)",registered in formula,v_stock_daily_qfq,20.0,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_ma_5,price_daily,Frozen Stage 6 price_daily feature,"rolling mean(volume_share, 5)",registered in formula,v_stock_daily_qfq,5.0,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_ratio_20,price_daily,Frozen Stage 6 price_daily feature,volume_share / volume_ma_20,registered in formula,v_stock_daily_qfq,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_share,price_daily,Frozen Stage 6 price_daily feature,configured Stage 6 price_daily feature,registered in formula,v_stock_daily_qfq,,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
atr_over_close_20,style_daily,Frozen Stage 6 style_daily feature,rolling mean(true range) / qfq close,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
atr_over_close_40,style_daily,Frozen Stage 6 style_daily feature,rolling mean(true range) / qfq close,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
atr_over_close_60,style_daily,Frozen Stage 6 style_daily feature,rolling mean(true range) / qfq close,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
bollinger_bandwidth_20,style_daily,Frozen Stage 6 style_daily feature,4 * rolling std(qfq close) / rolling mean(qfq close),registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
bollinger_bandwidth_40,style_daily,Frozen Stage 6 style_daily feature,4 * rolling std(qfq close) / rolling mean(qfq close),registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
bollinger_bandwidth_60,style_daily,Frozen Stage 6 style_daily feature,4 * rolling std(qfq close) / rolling mean(qfq close),registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
box_width_20,style_daily,Frozen Stage 6 style_daily feature,rolling max(qfq close) / rolling min(qfq close) - 1,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
box_width_40,style_daily,Frozen Stage 6 style_daily feature,rolling max(qfq close) / rolling min(qfq close) - 1,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
box_width_60,style_daily,Frozen Stage 6 style_daily feature,rolling max(qfq close) / rolling min(qfq close) - 1,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
false_breakout_count_20,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
false_breakout_count_40,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
false_breakout_count_60,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
fund_flow_divergence_20,style_daily,Frozen Stage 6 style_daily feature,"rolling correlation(return_1d, main_net_inflow_ratio)",registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
fund_flow_divergence_40,style_daily,Frozen Stage 6 style_daily feature,"rolling correlation(return_1d, main_net_inflow_ratio)",registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
fund_flow_divergence_60,style_daily,Frozen Stage 6 style_daily feature,"rolling correlation(return_1d, main_net_inflow_ratio)",registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
long_shadow_frequency_20,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
long_shadow_frequency_40,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
long_shadow_frequency_60,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
lower_touch_count_20,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
lower_touch_count_40,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
lower_touch_count_60,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
r_squared_20,style_daily,Frozen Stage 6 style_daily feature,R-squared of OLS log(qfq close) trend,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
r_squared_40,style_daily,Frozen Stage 6 style_daily feature,R-squared of OLS log(qfq close) trend,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
r_squared_60,style_daily,Frozen Stage 6 style_daily feature,R-squared of OLS log(qfq close) trend,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
style_confidence,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
style_explanation,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
style_label,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
trend_slope_20,style_daily,Frozen Stage 6 style_daily feature,OLS slope of log(qfq close) on trading-day index,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
trend_slope_40,style_daily,Frozen Stage 6 style_daily feature,OLS slope of log(qfq close) on trading-day index,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
trend_slope_60,style_daily,Frozen Stage 6 style_daily feature,OLS slope of log(qfq close) on trading-day index,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
upper_touch_count_20,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
upper_touch_count_40,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
upper_touch_count_60,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_trend_slope_20,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,20.0,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_trend_slope_40,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,40.0,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_trend_slope_60,style_daily,Frozen Stage 6 style_daily feature,configured Stage 6 style_daily feature,registered in formula,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,60.0,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
abnormal_volume_evidence,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
as_of_date,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
confidence_level,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
