feature_name,feature_group,expected_by_config,exists_in_definition_registry,exists_in_parquet,exists_in_database,formula,window,input_dataset,adjustment_basis,unit,null_policy,as_of_policy,formula_version,status
current_market_cap_cny,current_snapshot,True,True,True,True,configured Stage 6 current_snapshot feature,,fact_stock_spot,actual snapshot time,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,PASS
current_pb,current_snapshot,True,True,True,True,configured Stage 6 current_snapshot feature,,fact_stock_spot,actual snapshot time,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,PASS
current_pe_dynamic,current_snapshot,True,True,True,True,configured Stage 6 current_snapshot feature,,fact_stock_spot,actual snapshot time,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,PASS
is_historical_as_of,current_snapshot,True,True,True,True,false for current spot snapshots,,fact_stock_spot,actual snapshot time,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,PASS
pe_status,current_snapshot,True,True,True,True,configured Stage 6 current_snapshot feature,,fact_stock_spot,actual snapshot time,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,PASS
debt_to_asset_ratio,financial_period,True,True,True,True,total_liabilities / total_assets,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
gross_margin,financial_period,True,True,True,True,1 - total_operate_cost / total_operate_income,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
net_margin,financial_period,True,True,True,True,net_profit / total_operate_income,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
net_profit,financial_period,True,True,True,True,configured Stage 6 financial_period feature,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
net_profit_parent,financial_period,True,True,True,True,configured Stage 6 financial_period feature,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
net_profit_ttm,financial_period,True,True,True,True,sum of exactly four consecutive single quarters,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
net_profit_yoy,financial_period,True,True,True,True,net_profit_cumulative / comparable_prior_year - 1,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
operating_cf_over_net_profit,financial_period,True,True,True,True,netcash_operate / net_profit,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
revenue,financial_period,True,True,True,True,configured Stage 6 financial_period feature,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
revenue_ttm,financial_period,True,True,True,True,sum of exactly four consecutive single quarters,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
revenue_yoy,financial_period,True,True,True,True,revenue_cumulative / comparable_prior_year - 1,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
roe,financial_period,True,True,True,True,annualized parent_net_profit / average_parent_equity,,v_financial_point_in_time_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
main_net_inflow_cny,fund_flow_daily,True,True,True,True,direct as-of-safe source value,,v_stock_fund_flow_as_of_safe,not_applicable,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
main_net_inflow_ratio,fund_flow_daily,True,True,True,True,direct as-of-safe source decimal ratio,,v_stock_fund_flow_as_of_safe,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
daily_return_raw,limit_event,True,True,True,True,raw_close / previous_raw_close - 1,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
detection_confidence,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
limit_direction,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
limit_status,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
limit_threshold,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
matching_tolerance_tick_fraction,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
previous_raw_close,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
raw_close,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
threshold_source,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
uncertainty_reason,limit_event,True,True,True,True,configured Stage 6 limit_event feature,,v_stock_daily_raw,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
amount_cny,price_daily,True,True,True,True,configured Stage 6 price_daily feature,,v_stock_daily_qfq,qfq,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
amplitude,price_daily,True,True,True,True,configured Stage 6 price_daily feature,,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
close_qfq,price_daily,True,True,True,True,configured Stage 6 price_daily feature,,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
return_1d,price_daily,True,True,True,True,close_qfq / previous_close_qfq - 1,,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
rolling_volatility_20,price_daily,True,True,True,True,"std(return_1d,20) * sqrt(252)",20.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
turnover_rate,price_daily,True,True,True,True,configured Stage 6 price_daily feature,,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_lot,price_daily,True,True,True,True,configured Stage 6 price_daily feature,,v_stock_daily_qfq,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_ma_20,price_daily,True,True,True,True,"rolling mean(volume_share, 20)",20.0,v_stock_daily_qfq,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_ma_5,price_daily,True,True,True,True,"rolling mean(volume_share, 5)",5.0,v_stock_daily_qfq,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_ratio_20,price_daily,True,True,True,True,volume_share / volume_ma_20,20.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_share,price_daily,True,True,True,True,configured Stage 6 price_daily feature,,v_stock_daily_qfq,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
atr_over_close_20,style_daily,True,True,True,True,rolling mean(true range) / qfq close,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
atr_over_close_40,style_daily,True,True,True,True,rolling mean(true range) / qfq close,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
atr_over_close_60,style_daily,True,True,True,True,rolling mean(true range) / qfq close,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
bollinger_bandwidth_20,style_daily,True,True,True,True,4 * rolling std(qfq close) / rolling mean(qfq close),20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
bollinger_bandwidth_40,style_daily,True,True,True,True,4 * rolling std(qfq close) / rolling mean(qfq close),40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
bollinger_bandwidth_60,style_daily,True,True,True,True,4 * rolling std(qfq close) / rolling mean(qfq close),60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
box_width_20,style_daily,True,True,True,True,rolling max(qfq close) / rolling min(qfq close) - 1,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
box_width_40,style_daily,True,True,True,True,rolling max(qfq close) / rolling min(qfq close) - 1,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
box_width_60,style_daily,True,True,True,True,rolling max(qfq close) / rolling min(qfq close) - 1,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
false_breakout_count_20,style_daily,True,True,True,True,configured Stage 6 style_daily feature,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
false_breakout_count_40,style_daily,True,True,True,True,configured Stage 6 style_daily feature,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
false_breakout_count_60,style_daily,True,True,True,True,configured Stage 6 style_daily feature,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
fund_flow_divergence_20,style_daily,True,True,True,True,"rolling correlation(return_1d, main_net_inflow_ratio)",20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
fund_flow_divergence_40,style_daily,True,True,True,True,"rolling correlation(return_1d, main_net_inflow_ratio)",40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
fund_flow_divergence_60,style_daily,True,True,True,True,"rolling correlation(return_1d, main_net_inflow_ratio)",60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
long_shadow_frequency_20,style_daily,True,True,True,True,configured Stage 6 style_daily feature,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
long_shadow_frequency_40,style_daily,True,True,True,True,configured Stage 6 style_daily feature,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
long_shadow_frequency_60,style_daily,True,True,True,True,configured Stage 6 style_daily feature,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
lower_touch_count_20,style_daily,True,True,True,True,configured Stage 6 style_daily feature,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
lower_touch_count_40,style_daily,True,True,True,True,configured Stage 6 style_daily feature,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
lower_touch_count_60,style_daily,True,True,True,True,configured Stage 6 style_daily feature,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
r_squared_20,style_daily,True,True,True,True,R-squared of OLS log(qfq close) trend,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
r_squared_40,style_daily,True,True,True,True,R-squared of OLS log(qfq close) trend,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
r_squared_60,style_daily,True,True,True,True,R-squared of OLS log(qfq close) trend,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
style_confidence,style_daily,True,True,True,True,configured Stage 6 style_daily feature,,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
style_explanation,style_daily,True,True,True,True,configured Stage 6 style_daily feature,,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
style_label,style_daily,True,True,True,True,configured Stage 6 style_daily feature,,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
trend_slope_20,style_daily,True,True,True,True,OLS slope of log(qfq close) on trading-day index,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
trend_slope_40,style_daily,True,True,True,True,OLS slope of log(qfq close) on trading-day index,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
trend_slope_60,style_daily,True,True,True,True,OLS slope of log(qfq close) on trading-day index,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
upper_touch_count_20,style_daily,True,True,True,True,configured Stage 6 style_daily feature,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
upper_touch_count_40,style_daily,True,True,True,True,configured Stage 6 style_daily feature,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
upper_touch_count_60,style_daily,True,True,True,True,configured Stage 6 style_daily feature,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_trend_slope_20,style_daily,True,True,True,True,configured Stage 6 style_daily feature,20.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_trend_slope_40,style_daily,True,True,True,True,configured Stage 6 style_daily feature,40.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_trend_slope_60,style_daily,True,True,True,True,configured Stage 6 style_daily feature,60.0,v_stock_daily_qfq + v_stock_fund_flow_as_of_safe,qfq,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
abnormal_volume_evidence,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
as_of_date,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
confidence_level,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
confidence_score,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
evidence_count,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
evidence_summary,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
fund_flow_persistence_evidence,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
insufficient_evidence,suspected_behavior_evidence,True,True,True,True,true because frozen config has no confidence threshold/formula,,Stage 6 neutral feature tables,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
limit_event_evidence,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
price_volume_divergence_evidence,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
turnover_change_evidence,suspected_behavior_evidence,True,True,True,True,configured Stage 6 suspected_behavior_evidence feature,,Stage 6 neutral feature tables,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
close_qfq,trend_daily,True,True,True,True,configured Stage 6 trend_daily feature,,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
ma_10,trend_daily,True,True,True,True,"rolling mean(qfq close, 10)",10.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
ma_13,trend_daily,True,True,True,True,"rolling mean(qfq close, 13)",13.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
ma_20,trend_daily,True,True,True,True,"rolling mean(qfq close, 20)",20.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
ma_21,trend_daily,True,True,True,True,"rolling mean(qfq close, 21)",21.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
ma_3,trend_daily,True,True,True,True,"rolling mean(qfq close, 3)",3.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
ma_5,trend_daily,True,True,True,True,"rolling mean(qfq close, 5)",5.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
ma_7,trend_daily,True,True,True,True,"rolling mean(qfq close, 7)",7.0,v_stock_daily_qfq,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
